0,0,87127212,Labyrinth
0,0,62804814,Club Paradise
0,0,223141,Brighton Beach Memoirs
0,0,51359026,Big Trouble in Little China
0,0,86849884,Manhunter
0,0,16177491,Blue Velvet
0,0,39921067,Wise Guys
0,0,70402926,The Texas Chainsaw Massacre 2
1,1,112828258,Star Trek IV: The Voyage Home
0,0,125831106,Maximum Overdrive
0,0,4164759,Witchboard
0,0,42133551,The Name of the Rose
0,0,96381025,Nine 1/2 Weeks
0,0,29770834,Highlander
0,0,64389288,The Hitcher
0,0,42485702,Troll
0,0,105744930,Vamp
0,0,87554196,Invaders from Mars
0,0,51156054,Band of the Hand
0,0,79247668,King Kong Lives
0,0,69535330,River's Edge
0,0,41863863,Tai-Pan
0,0,22658730,The Wraith
0,0,29762821,Born American
0,0,13320909,Sid and Nancy
0,0,1700281,At Close Range
0,0,25515910,Shanghai Surprise
0,0,114947362,Sky Bandits
0,0,15782988,The Clan of the Cave Bear
0,0,67584923,Pirates
0,0,81466850,Down by Law
0,0,36004037,Armed Response
0,0,6329073,8 Million Ways to Die
0,0,35309918,Native Son
0,0,22578670,From Beyond
1,0,68155627,Aliens
0,0,2374386,Henry: Portrait of a Serial Killer
0,0,30178145,Night of the Creeps
1,0,71809848,The Golden Child
1,0,24791244,Ferris Bueller's Day Off
1,0,154142203,Dirty Dancing
0,0,54485900,Predator
0,0,108148654,Throw Momma from the Train
0,0,67904531,La Bamba
0,0,2590705,Broadcast News
0,0,92667413,The Living Daylights
0,0,45019332,Full Metal Jacket
0,0,22138176,A Nightmare on Elm Street 3: Dream Warriors
0,1,7760680,Wall Street
0,0,79194039,Mannequin
0,0,25133578,Blind Date
0,0,44825758,The Running Man
0,0,138184225,Spaceballs
0,0,10354225,No Way Out
1,1,161906125,3 Men and a Baby
1,0,255006434,Fatal Attraction
1,1,12616914,Beverly Hills Cop II
0,0,9192724,The Princess Bride
0,1,108275935,Tin Men
0,0,85289843,Ernest Goes to Camp
0,0,18644505,Raising Arizona
0,0,9261606,Jaws: The Revenge
0,0,55670156,Critical Condition
0,0,24735273,Project X
0,0,1758338,Masters of the Universe
0,0,15146914,Angel Heart
1,0,113396039,Good Morning, Vietnam
0,1,161658251,Over the Top
0,0,14530867,Superman IV: The Quest for Peace
0,0,85679080,Radio Days
0,0,9485926,Hellraiser
0,0,88959734,Ishtar
0,0,6151297,Prince of Darkness
0,0,50313894,Creepshow 2
0,0,17053896,The Gate
0,0,30672812,The Pick-up Artist
0,0,47797156,Someone to Watch Over Me
0,0,39992714,Maid to Order
0,0,72562553,Nuts
0,0,6706901,Teen Wolf Too
0,0,27891294,Ironweed
0,0,25249258,Hiding Out
0,0,41943082,Death Wish 4: The Crackdown
0,0,22635159,Cry Freedom
0,0,12958581,Surrender
0,0,35394815,Nadine
0,0,25694117,Hollywood Shuffle
0,0,74451177,American Ninja 2: The Confrontation
0,0,22775841,The Monster Squad
0,0,22556416,Three O'Clock High
0,0,11958303,Near Dark
0,0,28299947,Pinocchio and the Emperor of the Night
0,0,42872273,Barfly
0,0,29161010,Maurice
0,0,36421365,White Mischief
0,0,12908830,Weeds
0,0,42578418,Date with an Angel
0,0,16489158,Matewan
0,0,36367898,A Prayer for the Dying
0,0,48303199,The Offspring
0,0,105907872,Million Dollar Mystery
0,0,32470220,Tough Guys Don't Dance
0,0,9193145,The Barbarians
0,0,8594972,Rampage
0,0,40262635,Sister, Sister
0,0,45383086,Steel Dawn
0,0,23735931,September
1,0,78967597,The Untouchables
1,0,215426860,Rain Man
1,1,49177126,Working Girl
1,0,73292319,A Fish Called Wanda
0,0,44337455,Scrooged
0,1,72005015,Willow
0,1,9526409,Rambo III
0,1,116798332,Bull Durham
0,0,52975818,A Nightmare on Elm Street 4: The Dream Master
0,0,27629589,The Land Before Time
0,0,56276159,Young Guns
0,0,699038,Biloxi Blues
0,0,24132773,The Great Outdoors
0,0,270705,Tequila Sunrise
0,0,180606770,Midnight Run
0,0,266949,The Dead Pool
0,0,50932475,Dangerous Liaisons
0,0,46720705,Mississippi Burning
0,0,64502270,Child's Play
1,1,41414023,Who Framed Roger Rabbit
0,0,37938953,The Accused
0,0,22847813,Ernest Saves Christmas
0,0,42890576,Betrayed
0,0,52405418,Funny Farm
0,0,2079260,Alien Nation
0,0,7056797,Gorillas in the Mist
0,0,39268678,License to Drive
0,0,7583042,Married to the Mob
0,0,52358636,Action Jackson
0,0,44358762,Tucker: The Man and His Dream
0,0,44726463,The Serpent and the Rainbow
0,0,31707130,Friday the 13th Part VII: The New Blood
0,0,17993826,Cocoon: The Return
0,0,7817579,Above the Law
0,0,29042050,Halloween 4: The Return of Michael Myers
0,0,24893211,Frantic
1,1,51421618,Coming to America
0,1,15222469,Bright Lights, Big City
0,0,21017183,School Daze
0,0,37189499,Poltergeist III
0,0,18853463,My Stepmother Is an Alien
0,0,16562385,They Live
0,0,6792681,Mystic Pizza
0,0,33152635,Bloodsport
0,0,91645315,Caddyshack II
0,0,30270309,Moon Over Parador
0,0,47220222,Shakedown
0,0,52743214,The Unbearable Lightness of Being
0,0,36806923,Bad Dreams
0,0,32517034,Return of the Living Dead 2
0,0,60037527,Switching Channels
0,0,24063961,The Last Temptation of Christ
0,0,34232925,The Blob
0,0,64329881,The Adventures of Baron Munchausen
1,0,99073742,Big
1,1,59040762,Twins
0,0,17399677,Phantasm II
0,0,22033547,Women on the Verge of a Nervous Breakdown
0,0,9142038,A Cry in the Dark
0,0,58384280,Hairspray
0,0,10307825,Eight Men Out
0,0,5642509,Elvira: Mistress of the Dark
0,0,40196076,Monkey Shines
0,0,16905214,Sunset
0,0,9797218,Pumpkinhead
0,0,10872222,Red Scorpion
0,0,45440040,Earth Girls Are Easy
0,0,20804803,Critters 2
0,0,66248857,Dead Heat
0,0,23582669,The New Adventures of Pippi Longstocking
0,0,46765401,Talk Radio
0,0,1179139,Night of the Demons
0,0,52838775,Bird
0,0,28571458,Permanent Record
0,0,1854265,Cop
0,0,2734643,The Kiss
0,0,46088364,Lady in White
0,0,20496492,The Lair of the White Worm
0,0,55136799,Miracle Mile
0,0,31054906,Heathers
0,0,35296180,Bulletproof
0,0,69250704,The Boost
0,0,48942902,Maniac Cop
0,0,5181818,Apartment Zero
0,0,1942226,Track 29
0,0,46733088,Out of the Dark
1,0,49298267,Die Hard
1,0,56801606,Beetlejuice
0,0,16485140,Tango & Cash
0,1,10320188,Harlem Nights
0,0,75389484,Pet Sematary
0,1,39369707,Star Trek V: The Final Frontier
0,0,7611835,The Abyss
0,1,30427057,Major League
0,0,3687214,See No Evil, Hear No Evil
0,0,33320349,Black Rain
0,1,93699207,Always
0,0,1058096,Three Fugitives
0,0,331642,Bill & Ted's Excellent Adventure
0,0,45769115,Licence to Kill
1,0,208064306,Look Who's Talking
0,0,62461143,Road House
0,0,12309171,The Dream Team
0,0,18130895,Do the Right Thing
0,0,46630129,All Dogs Go to Heaven
0,0,12222373,Glory
0,0,24215750,Sex, Lies, and Videotape
0,0,10318756,A Nightmare on Elm Street 5: The Dream Child
0,0,8233802,Lock Up
0,0,26698539,Cousins
0,1,67479654,Dad
0,0,27744310,Casualties of War
1,0,128291229,Honey, I Shrunk the Kids
0,0,10124919,The Fabulous Baker Boys
0,0,13746907,Shocker
0,1,51867987,Chances Are
0,0,19082775,Next of Kin
0,0,2617086,Kickboxer
0,0,21028080,Friday the 13th Part VIII: Jason Takes Manhattan
0,1,53003780,The Wizard
0,0,10924785,Halloween 5
0,1,86825834,New York Stories
0,0,43002970,We're No Angels
0,0,21800392,Cyborg
0,0,1307331,Henry V
0,0,31054082,Warlock
0,0,60926256,Troop Beverly Hills
0,0,75235070,Cheetah
1,1,121839202,Back to the Future Part II
1,0,131055227,The Little Mermaid
1,1,112317511,Driving Miss Daisy
0,0,28738813,Johnny Handsome
0,0,41400202,Shag
0,0,17045136,UHF
0,0,5577551,Immediate Family
0,0,62677617,Let It Ride
0,0,3334027,Drugstore Cowboy
0,0,13181655,Physical Evidence
0,0,93514460,In Country
1,1,30500682,Dead Poets Society
0,0,45020610,Farewell to the King
0,0,21885687,Breaking In
0,0,15313897,Stepfather II
0,0,33207732,Little Nemo: Adventures in Slumberland
0,0,43185416,Robot Jox
0,0,47085783,Valmont
1,0,84445463,When Harry Met Sally...
0,0,46623262,Parents
0,0,34959207,The Unbelievable Truth
1,0,47572725,Christmas Vacation
1,0,64833034,Born on the Fourth of July
1,0,354547034,Home Alone
1,1,315212194,Ghost
1,0,222937039,Dances with Wolves
1,0,177908069,Pretty Woman
0,0,36993360,Flatliners
0,0,7815918,Misery
0,0,11291742,Problem Child
0,0,8664051,Arachnophobia
0,0,41184134,Hard to Kill
0,0,30921332,Goodfellas
0,0,60055994,Marked for Death
